ID,Sex_ Female,Race_ White,Employment class_ ?,Employment class_ Federal-gov,Employment class_ Local-gov,Employment class_ Private,Employment class_ Self-emp-inc,Employment class_ Self-emp-not-inc,Employment class_ State-gov,Employment class_ Without-pay,Occupation_ ?,Occupation_ Adm-clerical,Occupation_ Armed-Forces,Occupation_ Craft-repair,Occupation_ Exec-managerial,Occupation_ Farming-fishing,Occupation_ Handlers-cleaners,Occupation_ Machine-op-inspct,Occupation_ Other-service,Occupation_ Priv-house-serv,Occupation_ Prof-specialty,Occupation_ Protective-serv,Occupation_ Sales,Occupation_ Tech-support,Occupation_ Transport-moving,Married,Age_normalize,Education_years_n,Fnlwgt_normalize,Work_hours_per_week_n,Capital_n,US_born
42518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5068493150684932,0.3333333333333333,0.367545958153711,0.3979591836734694,-0.12844462026120232,1
8937,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4246575342465753,0.5333333333333333,0.11072517092726324,0.15306122448979592,-0.12844462026120232,1
34511,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.273972602739726,0.06666666666666667,0.33158344545429586,0.7755102040816326,-0.12844462026120232,0
41357,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2191780821917808,0.4,0.019968114171174386,0.7040816326530612,-0.12844462026120232,1
4458,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684931506849315,0.5333333333333333,0.0294952497322826,0.3979591836734694,-0.12844462026120232,1
30489,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2328767123287671,0.4,0.08575451687306077,0.5,-0.12844462026120232,1
16857,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2328767123287671,0.5333333333333333,0.12642010351739477,0.3979591836734694,-0.12844462026120232,1
38774,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1506849315068493,0.3333333333333333,0.33716518163595927,0.3469387755102041,-0.12844462026120232,0
12408,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0547945205479452,0.6,0.08588837557318982,0.15306122448979592,-0.35685212883190703,1
6144,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3835616438356164,0.6,0.09662882012136523,0.3979591836734694,-0.12844462026120232,1
12233,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2191780821917808,0.2,0.030857862654109117,0.3979591836734694,-0.12844462026120232,1
11821,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5342465753424658,0.7333333333333333,0.14819101979735852,0.3979591836734694,0.4562614925031296,1
23457,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0958904109589041,0.2,0.2033845657486477,0.6020408163265306,-0.12844462026120232,1
38715,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5205479452054794,0.6,0.12497168373651116,0.3979591836734694,-0.12844462026120232,1
5631,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.4383561643835616,0.8,0.21355267854691232,0.25510204081632654,-0.12844462026120232,1
41432,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1232876712328767,0.7333333333333333,0.12326841758422802,0.3979591836734694,-0.12844462026120232,1
5542,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3698630136986301,0.6,0.164157960130701,0.3979591836734694,-0.12844462026120232,1
21413,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547945205479452,0.8,0.00500339795161866,0.3673469387755102,0.1815166304458588,1
36957,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1780821917808219,0.8,0.12902691589554902,0.3979591836734694,-0.12844462026120232,1
45094,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2328767123287671,0.5333333333333333,0.136776991405585,0.3979591836734694,-0.12844462026120232,1
29184,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4383561643835616,0.5333333333333333,0.0833390537906038,0.6020408163265306,-0.22154705665113375,1
10658,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3561643835616438,0.5333333333333333,0.19446236854389193,0.4387755102040816,-0.12844462026120232,0
12393,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3424657534246575,0.6,0.2248096803866114,0.5,-0.12844462026120232,1
36058,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3698630136986301,0.8666666666666667,0.08246811417117439,0.3979591836734694,-0.12844462026120232,1
22262,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3424657534246575,0.6,0.07506727257750076,0.3163265306122449,-0.12844462026120232,1
32332,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0821917808219178,0.5333333333333333,0.253409106510338,0.3979591836734694,-0.12844462026120232,1
2508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4794520547945205,0.6,0.12595073999835252,0.3979591836734694,-0.12844462026120232,1
42066,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.273972602739726,0.6,0.0738385183558033,0.3979591836734694,-0.12844462026120232,1
19982,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1917808219178082,0.6666666666666666,0.17701354375463357,0.3979591836734694,-0.12844462026120232,1
37212,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0547945205479452,0.6,0.20112956149262748,0.3163265306122449,0.0219735579798048,1
14222,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3013698630136986,0.8,0.24253566133062412,0.23469387755102042,-0.12844462026120232,0
38196,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4657534246575342,0.6,0.019566538070787228,0.3979591836734694,-0.12844462026120232,1
23936,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6575342465753424,0.6,0.06464517147642714,0.3979591836734694,-0.12844462026120232,1
12220,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4520547945205479,0.8,0.2585326340646366,0.3979591836734694,-0.39962507051181423,1
32970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.136986301369863,0.4,0.11583582745270327,0.3469387755102041,-0.12844462026120232,0
16435,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.136986301369863,0.6,0.08335621516241522,0.3979591836734694,-0.4107460353485901,0
15020,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.4794520547945205,0.6,0.07318209588401658,0.6020408163265306,-0.12844462026120232,1
24143,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.8493150684931506,0.6666666666666666,0.056430880858892335,0.19387755102040816,-0.12844462026120232,1
13718,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.547945205479452,0.5333333333333333,0.13875483950685083,0.3979591836734694,-0.12844462026120232,1
23200,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7397260273972602,0.6,0.0848672739504105,0.5,2.730356225151531,1
24071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3150684931506849,0.5333333333333333,0.11333369944259865,0.47959183673469385,-0.12844462026120232,1
42775,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0684931506849315,0.5333333333333333,0.24589414179411845,0.4489795918367347,-0.12844462026120232,0
36284,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4794520547945205,0.5333333333333333,0.08571847799225679,0.3979591836734694,-0.12844462026120232,1
33211,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0547945205479452,0.6,0.20112956149262748,0.3163265306122449,0.0219735579798048,1
21280,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6438356164383562,0.5333333333333333,0.18225805898020264,0.20408163265306123,-0.12844462026120232,1
26261,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6164383561643836,0.3333333333333333,0.23299994508361022,0.3979591836734694,-0.12844462026120232,1
15283,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.2328767123287671,1.0,0.03239208929404981,0.5,-0.12844462026120232,1
9019,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.136986301369863,0.5333333333333333,0.1016081921524479,0.8061224489795918,-0.12844462026120232,1
38909,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1232876712328767,0.8,0.11361857821466817,0.4489795918367347,-0.12844462026120232,1
44407,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273972602739726,0.6,0.3319558472226036,0.24489795918367346,-0.12844462026120232,1
4009,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.684931506849315,0.7333333333333333,0.35370616985639364,0.030612244897959183,2.730356225151531,1
33525,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1917808219178082,0.5333333333333333,0.08565154864219227,0.3979591836734694,-0.12844462026120232,1
41646,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3424657534246575,0.6,0.13378919657321728,0.3979591836734694,-0.12844462026120232,1
32844,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2328767123287671,0.2,0.0801744968285785,0.3979591836734694,-0.12844462026120232,1
11811,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2191780821917808,0.6,0.16362166726159422,0.19387755102040816,-0.12844462026120232,1
39160,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547945205479452,0.6,0.13825630165572916,0.4489795918367347,-0.12844462026120232,1
13726,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.136986301369863,0.8,0.12438219061478899,0.19387755102040816,-0.12844462026120232,0
26796,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7671232876712328,0.5333333333333333,0.008976255525961723,0.11224489795918367,-0.12844462026120232,1
239,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2465753424657534,0.6,0.1296104025371372,0.3979591836734694,-0.12844462026120232,1
33264,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0684931506849315,0.8,0.21359987231939373,0.3979591836734694,-0.12844462026120232,1
39379,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3150684931506849,0.5333333333333333,0.06023555698948351,0.3979591836734694,-0.366832481890552,1
39701,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0958904109589041,0.5333333333333333,0.10802826134709904,0.4489795918367347,-0.12844462026120232,1
15794,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1780821917808219,0.5333333333333333,0.19216531892693375,0.3979591836734694,-0.12844462026120232,1
6875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2191780821917808,0.7333333333333333,0.4297756665476812,0.6020408163265306,-0.12844462026120232,1
7020,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2465753424657534,0.8,0.1427886199511244,0.3979591836734694,-0.12844462026120232,1
10484,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.136986301369863,0.5333333333333333,0.017548360745764574,0.3673469387755102,-0.12844462026120232,1
35470,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3013698630136986,0.8666666666666667,0.11227570087042478,0.6020408163265306,2.013053993179487,1
2783,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.684931506849315,0.8,0.14000590351190312,0.6020408163265306,1.209778148430829,1
31159,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3698630136986301,0.5333333333333333,0.019960391553859248,0.29591836734693877,-0.12844462026120232,1
29159,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6575342465753424,0.6,0.13180019358027403,0.3979591836734694,-0.12844462026120232,1
4334,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.273972602739726,0.5333333333333333,0.1762061012109064,0.3979591836734694,-0.12844462026120232,1
36788,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5342465753424658,0.5333333333333333,0.19748791839424476,0.7040816326530612,-0.12844462026120232,1
25953,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1232876712328767,0.6,0.2206051442928142,0.19387755102040816,-0.12844462026120232,1
26006,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4657534246575342,1.0,0.10906995661605207,0.3979591836734694,-0.39748642342781887,1
31508,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1780821917808219,0.8,0.2641976028995854,0.3979591836734694,-0.3514342228857854,1
37641,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2328767123287671,0.5333333333333333,0.24229883439962657,0.3469387755102041,-0.12844462026120232,1
36412,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1917808219178082,0.5333333333333333,0.30876053708229223,0.3979591836734694,-0.12844462026120232,0
19968,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5205479452054794,0.13333333333333333,0.055076848622971526,0.3979591836734694,-0.12844462026120232,1
42340,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5342465753424658,0.6,0.1098224827699827,0.4489795918367347,-0.12844462026120232,0
35902,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3150684931506849,0.5333333333333333,0.10982591504434498,0.3979591836734694,-0.12844462026120232,1
24811,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3287671232876712,0.8,0.17299263433921855,0.3979591836734694,0.9676832985225539,1
3216,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1095890410958904,0.6666666666666666,0.06188390675197013,0.7551020408163265,-0.12844462026120232,1
17239,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1917808219178082,0.5333333333333333,0.14288386556467778,0.29591836734693877,-0.12844462026120232,1
36241,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1506849315068493,0.6,0.05433032894917488,0.3979591836734694,-0.12844462026120232,1
18998,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3013698630136986,0.7333333333333333,0.13534744913369395,0.5204081632653061,-0.12844462026120232,1
20871,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0136986301369863,0.6,0.1405687965073176,0.3469387755102041,-0.12844462026120232,1
17556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3698630136986301,0.4666666666666667,0.10307463137373349,0.3979591836734694,-0.12844462026120232,1
15501,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3150684931506849,0.6,0.18603527691589555,0.3979591836734694,-0.12844462026120232,1
42469,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1917808219178082,0.3333333333333333,0.16331104643180758,0.3979591836734694,-0.12844462026120232,1
8831,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6986301369863014,0.6,0.13341336253054725,0.24489795918367346,-0.12844462026120232,1
37191,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.136986301369863,0.4,0.14014491062357562,0.3979591836734694,-0.12844462026120232,1
12093,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5753424657534246,0.8666666666666667,0.18316160520607375,0.3979591836734694,-0.12844462026120232,1
6791,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.2054794520547945,0.9333333333333333,0.015460679864905682,0.4489795918367347,0.9676832985225539,1
1034,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3150684931506849,0.5333333333333333,0.050661227655893905,0.24489795918367346,-0.12844462026120232,1
1881,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5068493150684932,0.6,0.09287820231198,0.47959183673469385,-0.12844462026120232,1
38118,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1232876712328767,0.5333333333333333,0.17208222356462285,0.15306122448979592,-0.12844462026120232,1
47548,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5616438356164384,0.3333333333333333,0.02784260962684313,0.07142857142857142,-0.12844462026120232,1
5990,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3698630136986301,0.5333333333333333,0.09223121859468958,0.3979591836734694,-0.12844462026120232,1
6576,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5205479452054794,0.8666666666666667,0.07559069441774897,0.3979591836734694,-0.12844462026120232,1
35977,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.547945205479452,0.5333333333333333,0.052012685686042996,0.3979591836734694,-0.12844462026120232,1
11674,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1095890410958904,0.8,0.20899461819379994,0.5,0.8480616382910799,1
20249,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7945205479452054,0.5333333333333333,0.14433571761992367,0.19387755102040816,-0.12844462026120232,1
22702,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2191780821917808,0.5333333333333333,0.07530581564567945,0.3979591836734694,-0.12844462026120232,1
